6.274e-06,0,0
6.526e-06,0,0
3.619e-06,0,0
5.617e-06,0,0
3.584e-06,0,0
4.792e-06,0,0
3.554e-06,0,0
5.853e-06,0,0
4.764e-06,0,0
6.295e-06,0,0
3.939e-06,0,0
4.345e-06,0,0
4.352e-06,0,0
3.928e-06,0,0
4.059e-06,0,0
6.518e-06,0,0
4.196e-06,0,0
4.059e-06,0,0
6.622e-06,0,0
5.507e-06,0,0
0.385216,116665081,116665081
0.374937,116665081,116665081
0.371726,116665081,116665081
0.372482,116665081,116665081
0.370312,116665081,116665081
0.370723,116665081,116665081
0.370061,116665081,116665081
0.378044,116665081,116665081
0.383041,116665081,116665081
0.380154,116665081,116665081
