0.00163862,254184,254184
0.00160799,254184,254184
0.00120762,254184,254184
0.00138992,254184,254184
0.0016931,254184,254184
0.00165645,254184,254184
0.00171903,254184,254184
0.00177909,254184,254184
0.00173119,254184,254184
0.00133881,254184,254184
0.00167142,250389,250389
0.00101721,250389,250389
0.0009239,250389,250389
0.00170311,250389,250389
0.00179285,250389,250389
0.00180202,250389,250389
0.00171783,250389,250389
0.00165606,250389,250389
0.00176808,250389,250389
0.00179865,250389,250389
8.8666,-1794591104,-1794591104
7.98681,-1794591104,-1794591104
8.38333,-1794591104,-1794591104
9.14395,-1794591104,-1794591104
9.02141,-1794591104,-1794591104
8.89831,-1794591104,-1794591104
8.46857,-1794591104,-1794591104
9.04046,-1794591104,-1794591104
8.43108,-1794591104,-1794591104
8.43611,-1794591104,-1794591104
