0.00619213,500498,999
0.00516875,500498,999
0.00578273,500498,999
0.00612434,500498,999
0.00620148,500498,999
0.00615957,500498,999
0.00613529,500498,999
0.00619372,500498,999
0.00610859,500498,999
0.00594226,500498,999
0.530476,9491498,9999
0.452476,9491498,9999
0.388114,9491498,9999
0.346445,9491498,9999
0.321633,9491498,9999
0.311249,9491498,9999
0.31529,9491498,9999
0.30831,9491498,9999
0.308185,9491498,9999
0.306804,9491498,9999
28.0126,99506317,99999
27.5186,99506317,99999
27.5964,99506317,99999
27.598,99506317,99999
27.5317,99506317,99999
27.5284,99506317,99999
27.4869,99506317,99999
27.44,99506317,99999
27.6093,99506317,99999
27.5772,99506317,99999
