0.0016711,254184,254184
0.00179569,254184,254184
0.00155139,254184,254184
0.00180748,254184,254184
0.0015397,254184,254184
0.00171131,254184,254184
0.00161697,254184,254184
0.00173325,254184,254184
0.0017604,254184,254184
0.00162536,254184,254184
0.00162844,250389,250389
0.00174896,250389,250389
0.00162042,250389,250389
0.00142594,250389,250389
0.00142032,250389,250389
0.00120532,250389,250389
0.00132664,250389,250389
0.00128568,250389,250389
0.0017099,250389,250389
0.00173877,250389,250389
8.57053,-1794591104,-1794591104
8.12656,-1794591104,-1794591104
8.17666,-1794591104,-1794591104
8.26316,-1794591104,-1794591104
8.3937,-1794591104,-1794591104
8.80107,-1794591104,-1794591104
8.3791,-1794591104,-1794591104
8.34884,-1794591104,-1794591104
8.27047,-1794591104,-1794591104
8.25807,-1794591104,-1794591104
